roast_id,timestamp,tc,t1,t2,flow_gas,vac,drum_speed,vaf_close,vat_open,gas_pressure,air_speed,set_bf,set_vac,set_tt,set_vaf,set_vat
SYNTH_001_P10,2000-01-01 06:00:00,211.5,306.8,219.6,5.0,498.4,36.5,6.3,54.6,144.4,6.62,5.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:05,211.8,314.4,219.6,6.8,511.5,36.6,16.7,53.3,134.3,6.56,6.8,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:10,212.0,318.4,223.8,8.2,501.5,36.5,27.5,57.8,140.4,6.64,8.2,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:15,212.1,313.8,223.0,6.9,583.3,36.4,12.4,49.0,144.8,6.52,6.9,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:20,211.6,319.4,226.6,5.9,508.6,36.7,1.6,58.4,138.5,6.54,5.9,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:25,211.9,318.2,224.5,8.8,523.7,36.6,29.0,56.0,139.9,6.6,8.8,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:30,211.9,316.9,221.9,5.0,551.8,36.5,21.9,46.5,142.2,6.55,5.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:35,212.0,305.2,219.0,5.0,515.7,36.6,20.9,33.2,145.5,6.58,5.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:40,212.5,307.2,219.9,5.0,417.8,36.5,26.8,37.4,150.7,6.56,5.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:45,212.5,307.7,222.8,5.5,488.0,36.6,36.5,45.6,139.7,6.56,5.5,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:50,212.6,321.0,222.7,5.0,473.9,36.5,11.1,41.6,147.9,6.5,5.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:00:55,212.3,310.9,222.4,5.0,425.5,36.5,19.4,46.9,142.2,6.5,5.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:00,199.5,328.4,231.3,5.0,504.7,36.6,27.7,63.3,143.3,6.54,5.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:05,190.8,345.3,249.6,7.7,486.6,36.5,10.9,57.6,135.0,6.6,7.7,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:10,183.3,362.3,263.5,11.7,463.7,36.5,28.3,51.3,136.8,6.6,11.7,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:15,175.8,373.9,275.2,7.9,520.4,36.5,18.2,62.3,138.0,6.53,7.9,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:20,168.3,378.2,285.3,10.0,520.9,36.5,27.1,52.0,144.8,6.55,10.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:25,162.2,405.3,298.9,14.3,469.9,36.5,19.8,42.1,138.8,6.7,14.3,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:30,155.8,422.4,317.1,11.6,486.1,36.5,35.8,36.7,138.0,6.58,11.6,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:35,150.0,434.2,328.9,16.6,554.5,36.5,40.4,42.3,135.7,6.57,16.6,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:40,145.5,450.7,337.5,14.4,510.4,36.5,15.7,46.3,147.6,6.53,14.4,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:45,140.0,459.3,348.0,15.5,470.8,36.5,22.5,64.6,139.1,6.57,15.5,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:50,135.7,475.6,356.2,17.1,497.1,36.5,23.8,68.0,143.9,6.53,17.1,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:01:55,131.8,482.1,370.1,19.3,548.1,36.5,19.5,54.7,148.4,6.6,19.3,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:00,129.3,492.3,376.8,24.7,546.7,36.5,20.2,54.0,137.7,6.55,24.7,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:05,125.4,507.9,387.4,20.1,517.5,36.5,24.2,59.2,144.1,6.57,20.1,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:10,122.5,512.2,396.1,21.4,513.5,36.5,15.7,38.5,136.9,6.63,21.4,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:15,119.6,528.7,410.4,23.1,503.1,36.5,19.1,40.6,142.5,6.48,23.1,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:20,118.4,535.4,415.1,22.7,442.4,36.4,15.4,41.4,144.1,6.58,22.7,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:25,117.2,542.3,420.3,25.9,578.7,36.5,25.3,57.0,145.5,6.58,25.9,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:30,114.8,550.8,428.3,24.1,595.0,36.5,28.6,51.6,140.5,6.52,24.1,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:35,113.6,568.0,437.2,27.4,611.0,36.4,17.9,41.7,145.1,6.58,27.4,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:40,112.5,570.9,446.1,28.2,496.8,36.5,30.0,55.7,143.1,6.55,28.2,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:45,112.0,586.3,454.1,29.4,451.9,36.5,23.3,44.7,137.5,6.51,29.4,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:50,111.5,585.1,458.7,30.7,574.7,36.5,9.2,50.1,140.5,6.47,30.7,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:02:55,111.9,596.1,466.1,31.8,508.6,36.5,23.3,46.5,135.1,6.58,31.8,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:00,111.8,597.8,470.3,28.4,444.6,36.4,18.4,49.1,143.1,6.56,28.4,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:05,112.1,603.5,477.0,32.9,444.0,36.5,12.9,48.7,137.2,6.87,32.9,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:10,112.8,618.5,484.7,30.9,501.3,36.4,24.9,54.3,145.9,6.79,30.9,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:15,112.8,629.0,491.8,34.0,536.7,36.5,35.0,51.0,134.7,6.9,34.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:20,114.7,623.7,494.4,33.6,511.3,36.5,37.4,51.1,146.4,6.88,33.6,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:25,115.1,635.4,497.7,34.2,505.7,36.5,21.6,55.7,134.9,6.83,34.2,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:30,116.5,641.7,503.3,34.1,490.5,36.5,23.9,52.4,137.8,6.81,34.1,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:35,118.2,645.5,507.8,31.1,504.8,36.5,25.8,60.9,136.8,6.88,31.1,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:40,120.2,646.5,508.8,36.4,496.0,36.5,37.4,52.3,146.2,6.89,36.4,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:45,121.6,647.5,509.9,30.7,445.4,36.5,22.7,40.7,141.7,6.86,30.7,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:50,123.7,647.1,512.8,31.9,519.1,36.6,31.9,46.4,141.5,6.9,31.9,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:03:55,126.0,654.8,516.6,36.7,500.5,36.5,26.9,52.9,139.5,6.86,36.7,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:00,127.9,657.3,523.6,32.2,585.7,36.5,19.0,38.6,144.9,6.92,32.2,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:05,129.3,674.5,531.1,37.5,452.1,36.4,37.0,46.3,137.2,6.8,37.5,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:10,132.2,675.4,533.5,34.9,449.5,36.6,13.8,50.2,139.9,6.86,34.9,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:15,134.6,682.6,539.4,39.7,437.7,36.5,8.8,42.4,134.4,6.82,39.7,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:20,137.7,676.8,544.7,35.0,473.9,36.5,29.7,50.7,141.0,6.89,35.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:25,140.3,687.8,546.1,36.3,464.3,36.6,27.6,50.1,137.7,6.88,36.3,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:30,143.1,682.8,545.2,35.0,485.4,36.5,19.7,57.4,140.5,6.85,35.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:35,145.6,692.5,548.2,31.2,437.6,36.5,10.9,46.0,136.4,6.84,31.2,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:40,148.6,700.3,553.6,40.0,513.4,36.5,14.8,46.4,131.5,6.81,40.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:45,151.5,697.9,557.0,41.4,553.5,36.5,18.5,58.3,140.9,6.86,41.4,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:04:50,154.2,699.6,561.2,38.9,526.7,36.6,34.0,49.8,140.1,6.88,38.9,50.0,87.0,26.0,56.0
